timestamp,latitude,longitude,heading,speed,easting,northing
1429869216.88409,-33.892530404,151.1918150981,11121.1116479023,5.4724931003,332797.53834208,6248288.39539516
1429869216.88553,-33.8925299575,151.1918146808,11121.0044368095,6.2793944018,332797.498874027,6248288.44423523
1429869216.887,-33.8925295134,151.1918142641,11120.8935412666,6.2542778289,332797.459471324,6248288.49280504
1429869216.88843,-33.8925291254,151.1918138986,11120.7772865237,5.4724931003,332797.424909783,6248288.53523519
1429869216.88987,-33.892528738,151.1918135322,11120.6743460433,5.4724931003,332797.390267143,6248288.57759916
1429869216.8913,-33.8925282941,151.1918131108,11120.5790256754,6.2793944018,332797.350432515,6248288.6261407
1429869216.89274,-33.8925279078,151.1918127428,11120.4845426826,5.4724931003,332797.315646608,6248288.66838711
1429869216.8942,-33.8925275219,151.1918123741,11120.3968424272,5.4724931003,332797.280793581,6248288.71057816
1429869216.89562,-33.8925270815,151.1918119519,11120.3040341843,6.2542778289,332797.240885643,6248288.75873369
1429869216.90006,-33.8925267039,151.1918112955,11120.1866363197,6.2793944018,332797.179440784,6248288.79953901
1429869216.9015,-33.8925263181,151.1918109228,11120.0872965518,5.4944701016,332797.144223729,6248288.8417134
1429869216.90293,-33.8925259344,151.1918105508,11119.9860308214,5.4724931003,332797.109074054,6248288.88365763
1429869216.90436,-33.8925254965,151.1918101248,11119.8881983285,6.2542778289,332797.068819771,6248288.93152402
1429869216.90584,-33.8925251124,151.1918097498,11119.7993257482,5.4944701016,332797.033387355,6248288.97351764
1429869216.90731,-33.8925247286,151.1918093741,11119.7154774178,5.4944701016,332796.997891684,6248289.01545781
1429869216.90874,-33.8925242924,151.1918089456,11119.6330526249,6.2542778289,332796.957418234,6248289.06313903
1429869216.91024,-33.8925238567,151.1918085165,11119.5495392445,6.2542778289,332796.91687578,6248289.11076159
1429869216.91171,-33.8925234743,151.1918081387,11119.4619227266,5.4944701016,332796.88119623,6248289.15254544
1429869216.91314,-33.892523094,151.1918077618,11119.3717940838,5.4724931003,332796.845594883,6248289.19410699
1429869216.91764,-33.8925227299,151.1918070801,11119.2558623049,6.2542778289,332796.781841928,6248289.23337454
1429869216.91907,-33.8925223507,151.1918067016,11119.1708416496,5.4724931003,332796.746093185,6248289.27480937
1429869216.9205,-33.8925219705,151.1918063208,11119.0899241317,5.4944701016,332796.710140675,6248289.31635859
1429869216.92195,-33.8925215381,151.1918058868,11119.0151194513,6.2542778289,332796.669152206,6248289.36359782
1429869216.92338,-33.8925211045,151.1918054503,11118.9394773959,6.2793944018,332796.627936898,6248289.41097268
1429869216.92481,-33.8925207271,151.1918050693,11118.8698644405,5.4724931003,332796.591965445,6248289.45221432
1429869216.92631,-33.8925203485,151.1918046862,11118.7899517727,5.4944701016,332796.555795535,6248289.49357442
1429869216.92777,-33.8925199181,151.1918042493,11118.7064383923,6.2542778289,332796.514556734,6248289.54059527
1429869216.92923,-33.8925195404,151.1918038649,11118.6311312869,5.4944701016,332796.478270657,6248289.58185349
1429869216.93069,-33.8925191646,151.1918034816,11118.5715668315,5.4724931003,332796.442081377,6248289.62290412
1429869216.93212,-33.8925187337,151.1918030411,11118.5130909636,6.2793944018,332796.400507607,6248289.66996473
1429869216.93656,-33.8925183856,151.1918023613,11118.4302995238,6.2542778289,332796.33695738,6248289.70746975
1429869216.93801,-33.8925180094,151.1918019748,11118.3781039685,5.4944701016,332796.300481166,6248289.74855996
1429869216.93953,-33.892517635,151.1918015895,11118.3312676131,5.4724931003,332796.264115496,6248289.78945441
1429869216.94125,-33.8925172057,151.1918011469,11118.2727917452,6.2793944018,332796.222344719,6248289.83634025
1429869216.94291,-33.8925168319,151.1918007607,11118.2062770773,5.4724931003,332796.185896934,6248289.87716153
1429869216.94441,-33.8925164585,151.191800374,11118.1478849469,5.4724931003,332796.149404674,6248289.91794306
1429869216.94592,-33.892516032,151.1917999316,11118.105151729,6.2542778289,332796.107658121,6248289.9645137
1429869216.94743,-33.8925156042,151.191799487,11118.0635908362,6.2793944018,332796.065709533,6248290.01124051
1429869216.9489,-33.8925152315,151.1917990993,11118.0237884308,5.4724931003,332796.029122429,6248290.05193697
1429869216.95398,-33.8925149326,151.1917984623,11117.9650750662,5.4724931003,332795.969630349,6248290.08404468
1429869216.95541,-33.8925145056,151.1917980165,11117.9271148858,6.2793944018,332795.927569115,6248290.13067013
1429869216.95687,-33.8925141323,151.1917976261,11117.8827906554,5.4944701016,332795.890736249,6248290.17144095
1429869216.95836,-33.8925137606,151.1917972369,11117.835451875,5.4724931003,332795.854018237,6248290.21201934
1429869216.95982,-33.8925133362,151.1917967917,11117.7892016822,6.2542778289,332795.812016935,6248290.25836036
1429869216.96129,-33.8925129104,151.1917963444,11117.7564332268,6.2793944018,332795.769814885,6248290.30485838
1429869216.96275,-33.8925125379,151.1917959527,11117.7262606339,5.4944701016,332795.73286575,6248290.34552387
1429869216.96418,-33.8925121671,151.1917955624,11117.692571066,5.4724931003,332795.696041839,6248290.38600618
1429869216.96564,-33.8925117436,151.191795116,11117.6618123106,6.2542778289,332795.653931355,6248290.432248
1429869216.9671,-33.8925113732,151.1917947251,11117.6360778053,5.4724931003,332795.617064739,6248290.47269143
1429869216.97162,-33.8925110788,151.1917940969,11117.5839008806,5.4944701016,332795.558391441,6248290.5043122
1429869216.97304,-33.892510656,151.1917936495,11117.5461919127,6.2542778289,332795.516190529,6248290.55047151
1429869216.97448,-33.8925102334,151.1917932019,11117.5201224573,6.2542778289,332795.473963932,6248290.59660733
1429869216.97591,-33.8925098638,151.19179281,11117.505106352,5.4724931003,332795.437001189,6248290.63696292
1429869216.97742,-33.8925094912,151.1917924148,11117.4885829716,5.5166243297,332795.399729175,6248290.67763369
1429869216.97887,-33.892509069,151.1917919667,11117.4749066662,6.2542778289,332795.357461197,6248290.7237316
1429869216.98045,-33.8925086995,151.1917915745,11117.4706089608,5.4724931003,332795.32047039,6248290.76406146
1429869216.98192,-33.8925083301,151.1917911823,11117.4699957054,5.4724931003,332795.283477854,6248290.80438975
1429869216.98337,-33.8925079045,151.1917907305,11117.470889725,6.3047135196,332795.240859853,6248290.85085099
1429869216.9848,-33.8925074823,151.1917902823,11117.4830883072,6.2542778289,332795.198588049,6248290.89694539
1429869216.98937,-33.8925071912,151.1917896538,11117.4830383622,5.4724931003,332795.139894112,6248290.92820773
1429869216.9908,-33.8925068216,151.1917892618,11117.5101422194,5.4724931003,332795.102920083,6248290.96855298
1429869216.99223,-33.8925063957,151.1917888104,11117.538837089,6.3047135196,332795.060345928,6248291.01505441
1429869216.99367,-33.8925060258,151.1917884189,11117.5686205461,5.4724931003,332795.023412153,6248291.05543651
1429869216.9951,-33.8925056557,151.1917880276,11117.6106296782,5.4724931003,332794.986503684,6248291.09584175
1429869216.99653,-33.8925052324,151.1917875808,11117.6621848853,6.2542778289,332794.944360295,6248291.14205358
1429869216.99802,-33.8925048071,151.1917871328,11117.71650343,6.2793944018,332794.902090548,6248291.18849008
1429869216.99945,-33.8925044361,151.1917867427,11117.7720780371,5.4724931003,332794.865291284,6248291.2289948
1429869217.00088,-33.8925040648,151.191786353,11117.8317557817,5.4724931003,332794.828532778,6248291.26953651
1429869217.00234,-33.8925036401,151.1917859083,11117.8980487888,6.2542778289,332794.786574016,6248291.31591604
1429869217.00676,-33.8925033515,151.1917852793,11117.9438699922,5.4944701016,332794.727843602,6248291.34689071
1429869217.00822,-33.8925029777,151.1917848896,11118.0185367493,5.4944701016,332794.691065028,6248291.38771052
1429869217.00967,-33.8925025517,151.1917844465,11118.0988976564,6.2542778289,332794.649263394,6248291.43423172
1429869217.01113,-33.8925021252,151.1917840043,11118.180849576,6.2542778289,332794.607527697,6248291.48081209
1429869217.0126,-33.89250175,151.1917836164,11118.2667371582,5.4944701016,332794.570922282,6248291.52178725
1429869217.01408,-33.8925013743,151.1917832292,11118.3576489903,5.4944701016,332794.53438013,6248291.56281884
1429869217.01551,-33.8925009461,151.1917827892,11118.4487282974,6.2542778289,332794.492858943,6248291.60959052
1429869217.01694,-33.8925005709,151.191782405,11118.5433245795,5.4724931003,332794.456594264,6248291.65057456
1429869217.01842,-33.8925001936,151.1917820201,11118.6450385491,5.4944701016,332794.420254497,6248291.6917855
1429869217.01984,-33.8924997635,151.1917815828,11118.7481760563,6.2542778289,332794.378973376,6248291.7387692
1429869217.02428,-33.8924994184,151.1917809002,11118.8273402731,6.2542778289,332794.315172011,6248291.77592988
1429869217.02576,-33.8924990411,151.191780519,11118.9370093052,5.4724931003,332794.279184368,6248291.81715739
1429869217.02719,-33.8924986616,151.1917801372,11119.0491067249,5.4944701016,332794.243132376,6248291.85862032
1429869217.02865,-33.8924982289,151.1917797036,11119.159445657,6.2542778289,332794.202186595,6248291.90589655
1429869217.03012,-33.8924978497,151.1917793251,11119.2763998516,5.4724931003,332794.166441158,6248291.94733423
1429869217.03155,-33.8924974698,151.1917789475,11119.3981270837,5.4724931003,332794.130782109,6248291.98884628
1429869217.03301,-33.8924970877,151.1917785694,11119.5237062408,5.4944701016,332794.095069888,6248292.03060221
1429869217.03446,-33.892496652,151.1917781402,11119.6520487355,6.2542778289,332794.054524593,6248292.07822236
1429869217.03588,-33.8924962686,151.1917777641,11119.7798888051,5.4944701016,332794.018998602,6248292.12013684
1429869217.03731,-33.8924958859,151.1917773906,11119.9107434247,5.4724931003,332793.983709045,6248292.16196345
1429869217.04221,-33.8924955324,151.1917767183,11120.0193397792,6.2793944018,332793.920835876,6248292.20006729
1429869217.04364,-33.8924951485,151.1917763467,11120.1589030989,5.4724931003,332793.885724619,6248292.24204369
1429869217.04506,-33.8924947622,151.1917759748,11120.298047731,5.4944701016,332793.850574966,6248292.28427427
1429869217.04651,-33.8924943767,151.1917756055,11120.4493343006,5.4724931003,332793.815672624,6248292.32642453
