timestamp,latitude,longitude,heading,speed,easting,northing
1429869215.03239,-33.8931991066,151.1919817291,11217.1432898801,6.2542778289,332814.253977614,6248214.50947726
1429869215.03385,-33.893198771,151.1919823747,11216.9725220247,7.0360625575,332814.313025699,6248214.54773874
1429869215.03814,-33.8931984223,151.1919828984,11216.7957929346,6.2793944018,332814.360780254,6248214.58726917
1429869215.03957,-33.8931981199,151.1919834724,11216.6243551792,6.2793944018,332814.413269956,6248214.62173525
1429869215.04099,-33.8931977795,151.1919841143,11216.4509077239,7.0360625575,332814.471968178,6248214.66053134
1429869215.04245,-33.8931974755,151.1919846838,11216.279553706,6.2542778289,332814.524040373,6248214.69517359
1429869215.04388,-33.8931971688,151.1919852544,11216.1072785756,6.2793944018,332814.576217151,6248214.73011158
1429869215.04534,-33.8931968236,151.1919858926,11215.9330774827,7.0360625575,332814.634562606,6248214.7694362
1429869215.0468,-33.8931965152,151.1919864587,11215.7553594148,6.2542778289,332814.686317638,6248214.80455052
1429869215.04823,-33.8931962054,151.1919870237,11215.5725333595,6.2542778289,332814.737961933,6248214.83982751
1429869215.04967,-33.8931958538,151.1919876605,11215.3906284166,7.0643187021,332814.796167967,6248214.87985897
1429869215.05394,-33.8931954713,151.1919881823,11215.2012901221,6.2542778289,332814.843672419,6248214.92312698
1429869215.05541,-33.8931951569,151.1919887436,11215.0207249792,6.2542778289,332814.894973869,6248214.95890072
1429869215.05686,-33.8931948016,151.1919893738,11214.8385688238,7.0360625575,332814.952560322,6248214.99932865
1429869215.05834,-33.8931944831,151.191989935,11214.655659031,6.2793944018,332815.00383864,6248215.03557246
1429869215.05977,-33.8931941642,151.1919904927,11214.4700696381,6.2542778289,332815.054795505,6248215.07183535
1429869215.06119,-33.8931938024,151.1919911213,11214.2811307452,7.0643187021,332815.112218016,6248215.11298283
1429869215.06263,-33.8931934806,151.1919916765,11214.0885074023,6.2542778289,332815.162934506,6248215.14958115
1429869215.06406,-33.8931931558,151.1919922326,11213.8916971844,6.2793944018,332815.213729497,6248215.18649928
1429869215.06558,-33.8931927902,151.1919928542,11213.6925423166,7.0360625575,332815.270502013,6248215.22806247
1429869215.06716,-33.8931924622,151.1919934076,11213.4943085612,6.2793944018,332815.321040193,6248215.26533138
1429869215.06859,-33.893192134,151.1919939574,11213.2948187433,6.2542778289,332815.37124709,6248215.3026257
1429869215.07298,-33.8931917013,151.1919945306,11213.0910725135,7.0643187021,332815.423409685,6248215.35154346
1429869215.07447,-33.8931913698,151.1919950776,11212.8920013832,6.2542778289,332815.473353009,6248215.38919002
1429869215.0759,-33.8931910368,151.1919956233,11212.6915904528,6.2542778289,332815.523164788,6248215.42701046
1429869215.07741,-33.8931906604,151.1919962355,11212.4893372974,7.0360625575,332815.579053184,6248215.4697551
1429869215.07885,-33.8931902806,151.1919968486,11212.281222517,7.0643187021,332815.635011974,6248215.51287208
1429869215.08028,-33.8931899427,151.19199739,11212.0742800616,6.2542778289,332815.684415575,6248215.55122418
