timestamp,latitude,longitude,heading,speed,easting,northing
1429868718.71685,-33.8954967427,151.1877356908,507.099018944,5.4724931003,332426.073211813,6247952.78754751
1429868718.71829,-33.8954971617,151.1877360034,507.1136010278,5.4724931003,332426.102931937,6247952.7415961
1429868718.71973,-33.8954975807,151.1877363157,507.1303602866,5.4724931003,332426.132639491,6247952.69563656
1429868718.72115,-33.8954979414,151.1877365844,507.1518088454,4.7095458014,332426.15819218,6247952.65607595
1429868718.72261,-33.8954983606,151.1877368964,507.1677307292,5.4724931003,332426.187869416,6247952.61009682
1429868718.72403,-33.8954987799,151.1877372083,507.1845737255,5.4724931003,332426.217533504,6247952.56410922
1429868718.72559,-33.8954992009,151.1877375213,507.2070271343,5.4944701016,332426.247300885,6247952.51792672
1429868718.72702,-33.8954995619,151.1877377894,507.2316577181,4.7095458014,332426.272799516,6247952.47833124
1429868718.72844,-33.8954999815,151.1877381007,507.2566232519,5.4724931003,332426.302409013,6247952.43230846
1429868718.73286,-33.8955002155,151.1877377598,507.3228403308,5.4724931003,332426.27133983,6247952.40580504
1429868718.73429,-33.8955006371,151.1877380715,507.3471359646,5.4944701016,332426.300994933,6247952.35955037
1429868718.73571,-33.8955009987,151.1877383386,507.3721852359,4.7095458014,332426.326396517,6247952.31989256
1429868718.73712,-33.8955014189,151.1877386486,507.3979881447,5.4724931003,332426.355892711,6247952.27379708
1429868718.7386,-33.8955018392,151.1877389585,507.4224512535,5.4724931003,332426.385368681,6247952.22768868
1429868718.74004,-33.8955021996,151.1877392238,507.4513524498,4.6907083717,332426.410615391,6247952.18815542
1429868718.74147,-33.8955025616,151.1877394901,507.4796674836,4.7095458014,332426.435943667,6247952.14845076
1429868718.74289,-33.8955029823,151.1877397992,507.5110808049,5.4724931003,332426.465351077,6247952.10229859
1429868718.74443,-33.8955034032,151.187740108,507.5396470512,5.4724931003,332426.494734327,6247952.05613104
1429868718.74592,-33.895503764,151.1877403725,507.56846451,4.6907083717,332426.519900149,6247952.01654625
1429868718.75036,-33.8955039565,151.1877399831,507.6413875647,4.7285351397,332426.484263169,6247951.99456577
1429868718.75178,-33.8955043779,151.1877402907,507.671963511,5.4724931003,332426.513540533,6247951.948331
1429868718.75319,-33.8955047995,151.1877405981,507.7039629948,5.4724931003,332426.542792646,6247951.90208025
1429868718.75465,-33.895505161,151.1877408613,507.7388932911,4.6907083717,332426.567842726,6247951.86242211
1429868718.75607,-33.8955055255,151.1877411264,507.7729024749,4.7285351397,332426.593070759,6247951.82242898
1429868718.75752,-33.8955059475,151.1877414329,507.8035621587,5.4724931003,332426.622241887,6247951.7761271
1429868718.75921,-33.8955063697,151.1877417392,507.834473055,5.4724931003,332426.651388132,6247951.72980956
1429868718.76066,-33.8955067317,151.1877420014,507.8700732513,4.6907083717,332426.676347581,6247951.69009432
