timestamp,latitude,longitude,heading,speed,easting,northing
1429868721.97504,-33.894783934,151.1873330492,700.1523062238,2.3547729007,332387.442466521,6248031.17897864
1429868721.97647,-33.8947837339,151.1873329673,700.1566723326,2.3453541858,332387.434504392,6248031.20103931
1429868721.978,-33.8947835337,151.1873328855,700.1636343039,2.3453541858,332387.426544443,6248031.22310077
1429868721.97945,-33.8947832668,151.1873327764,700.1706800127,3.1271389144,332387.415934774,6248031.25251734
1429868721.98244,-33.8947828991,151.1873331439,700.2176297267,2.3547729007,332387.449202226,6248031.29389414
1429868721.98394,-33.8947826981,151.187333062,700.223586848,2.3547729007,332387.441233687,6248031.31605261
1429868721.9854,-33.8947824979,151.1873329804,700.2295439693,2.3453541858,332387.433299315,6248031.33812328
1429868721.98685,-33.8947822977,151.1873328989,700.2337426031,2.3453541858,332387.425366899,6248031.36019465
1429868721.98827,-33.8947820967,151.187332817,700.2360990119,2.3547729007,332387.417403896,6248031.38235511
1429868721.98972,-33.8947818956,151.1873327352,700.2398789582,2.3547729007,332387.409442079,6248031.404516
1429868721.99115,-33.8947816954,151.1873326537,700.2439938545,2.3453541858,332387.401513628,6248031.4265888
1429868721.99257,-33.8947814951,151.1873325722,700.2500347133,2.3453541858,332387.393587134,6248031.44866229
1429868721.99403,-33.8947812941,151.1873324904,700.2522236471,2.3547729007,332387.385630399,6248031.47082501
1429868721.99546,-33.8947810938,151.187332409,700.2527378309,2.3453541858,332387.377706011,6248031.49289926
1429868721.99839,-33.8947807331,151.1873327668,700.2991547889,2.3453541858,332387.410086087,6248031.53348977
1429868721.99981,-33.8947805328,151.1873326855,700.3055305977,2.3453541858,332387.402180912,6248031.55557092
1429868722.00123,-33.8947803316,151.187332604,700.3120738815,2.3547729007,332387.394246491,6248031.57774163
1429868722.00268,-33.8947801313,151.1873325228,700.3176123153,2.3453541858,332387.386346133,6248031.59982449
1429868722.00413,-33.894779931,151.1873324416,700.3239043866,2.3453541858,332387.378448056,6248031.62190818
1429868722.00557,-33.8947797307,151.1873323605,700.3322061579,2.3453541858,332387.370552791,6248031.64399286
1429868722.007,-33.8947795966,151.1873323062,700.3387494417,1.5698486005,332387.365270059,6248031.6587758
1429868722.00852,-33.894779463,151.1873322522,700.3431155505,1.5635694572,332387.360009858,6248031.67350011
1429868722.00996,-33.8947792618,151.1873321708,700.3501612593,2.3547729007,332387.352090079,6248031.69567605
1429868722.01138,-33.8947790614,151.1873320897,700.3546948431,2.3453541858,332387.344204209,6248031.7177641
1429868722.01434,-33.894778696,151.1873324332,700.3961170443,2.3547729007,332387.375248701,6248031.75885509
1429868722.01576,-33.8947784955,151.1873323523,700.4015717406,2.3453541858,332387.367380728,6248031.78094952
1429868722.01718,-33.8947782943,151.1873322712,700.4085337119,2.3547729007,332387.359483562,6248031.80313353
1429868722.01861,-33.8947780939,151.1873321904,700.4160818457,2.3453541858,332387.351620781,6248031.8252298
1429868722.02004,-33.8947778926,151.1873321093,700.418354517,2.3547729007,332387.343728325,6248031.84741548
1429868722.02147,-33.894777759,151.1873320555,700.4192873883,1.5635694572,332387.338488145,6248031.86214693
1429868722.02289,-33.8947776254,151.1873320017,700.4204714721,1.5635694572,332387.333248238,6248031.87687847
1429868722.02434,-33.8947774917,151.1873319478,700.4251725309,1.5635694572,332387.328009087,6248031.89161028
1429868722.02579,-33.8947773576,151.1873318938,700.4292874272,1.5698486005,332387.322750035,6248031.90640166
1429868722.02721,-33.8947771571,151.1873318131,700.4317275735,2.3453541858,332387.314894273,6248031.92850043
1429868722.03017,-33.8947767927,151.1873321454,700.4743229773,2.3453541858,332387.344915287,6248031.96944879
1429868722.03158,-33.8947765914,151.1873320646,700.4829596986,2.3547729007,332387.33704662,6248031.99164293
1429868722.033,-33.8947763901,151.1873319838,700.4866559074,2.3547729007,332387.329180341,6248032.01383791
1429868722.03452,-33.8947761896,151.1873319034,700.4899334287,2.3453541858,332387.321346871,6248032.03594459
1429868722.03595,-33.8947760559,151.1873318497,700.48986145,1.5635694572,332387.31612497,6248032.05068253
1429868722.0374,-33.8947759216,151.1873317959,700.4910455338,1.5698486005,332387.310882243,6248032.0654797
1429868722.03882,-33.8947757874,151.187331742,700.4969189176,1.5698486005,332387.305640426,6248032.08027719
1429868722.04024,-33.8947756537,151.1873316884,700.5023736139,1.5635694572,332387.300421033,6248032.09501601
1429868722.0417,-33.89477552,151.1873316348,700.5060698227,1.5635694572,332387.295202817,6248032.10975525
1429868722.04312,-33.8947753858,151.187331581,700.5101009815,1.5698486005,332387.289964643,6248032.12455404
1429868722.04457,-33.8947752516,151.1873315272,700.5136297153,1.5698486005,332387.284727445,6248032.13935317
1429868722.04754,-33.8947748835,151.1873318561,700.5550851699,2.3453541858,332387.314418205,6248032.18070157
1429868722.04904,-33.8947746829,151.1873317759,700.5602886537,2.3453541858,332387.306611515,6248032.20281772
1429868722.05051,-33.8947744823,151.1873316958,700.5648222375,2.3453541858,332387.298806704,6248032.22493454
1429868722.05194,-33.894774348,151.1873316421,700.5701931963,1.5698486005,332387.293583881,6248032.23973875
1429868722.05337,-33.8947742143,151.1873315887,700.5738056676,1.5635694572,332387.288383104,6248032.25448415
1429868722.05482,-33.8947740805,151.1873315353,700.5805164264,1.5635694572,332387.283183656,6248032.26923002
1429868722.05624,-33.8947739468,151.187331482,700.5847150602,1.5635694572,332387.277985612,6248032.28397639
1429868722.05774,-33.8947738119,151.1873314282,700.5884950065,1.5761783799,332387.272746684,6248032.29884203
1429868722.05919,-33.8947736782,151.1873313748,700.5899303028,1.5635694572,332387.267550337,6248032.313589
1429868722.06217,-33.8947733742,151.1873317093,700.6299861723,1.5635694572,332387.297892608,6248032.3478483
1429868722.0636,-33.8947732404,151.1873316561,700.6352733936,1.5635694572,332387.292707437,6248032.3625992
1429868722.06505,-33.8947731055,151.1873316024,700.6358713149,1.5761783799,332387.287481217,6248032.37746932
1429868722.06651,-33.8947729717,151.1873315492,700.6373066112,1.5635694572,332387.282297066,6248032.39222057
1429868722.06802,-33.8947728379,151.187331496,700.640500395,1.5635694572,332387.277113511,6248032.40697204
1429868722.06952,-33.894772771,151.1873314694,700.6416007413,0.7817847286,332387.27452201,6248032.41434787
1429868722.07094,-33.8947726366,151.187331416,700.6437896751,1.5698486005,332387.269318618,6248032.42915892
1429868722.07237,-33.8947725028,151.1873313628,700.6464810339,1.5635694572,332387.264136667,6248032.44391095
1429868722.07384,-33.894772369,151.1873313096,700.6488374427,1.5635694572,332387.258955367,6248032.4586632
1429868722.07529,-33.8947722352,151.1873312564,700.6501890015,1.5635694572,332387.253774543,6248032.47341563
1429868722.07671,-33.8947721009,151.187331203,700.6481910603,1.5698486005,332387.248572831,6248032.48822727
1429868722.07966,-33.8947718005,151.1873315311,700.685275958,1.5635694572,332387.278333648,6248032.52207564
